patent_id,inventor_id,name,location_id
9044485,fl:ni_ln:damour-2,Nicole Miller Damour,09312bc6-16c8-11ed-9b5f-1234bde3cd05
11559309,fl:wi_ln:patterson-6,William R. Patterson,64a4fd76-49af-11ed-9879-1234bde3cd05
12071734,fl:ho_ln:chen-206,Hongkai CHEN,9bf21d8d-49af-11ed-9879-1234bde3cd05
9539939,fl:co_ln:gardner-1,Cornel Lewis Gardner,ef6205fb-16c7-11ed-9b5f-1234bde3cd05
9212113,fl:in_ln:stuckert-1,Ines C. Stuckert,a694770f-16c8-11ed-9b5f-1234bde3cd05
11080770,fl:ja_ln:lewin-2,Jason Lewin,01b1b8d1-16c8-11ed-9b5f-1234bde3cd05
10289357,fl:ke_ln:fukushima-16,Keisuke Fukushima,8d09bc30-16c8-11ed-9b5f-1234bde3cd05
12447883,fl:se_ln:schmitt-3,Sebastian Schmitt,f8d50f69-16c7-11ed-9b5f-1234bde3cd05
10347513,fl:ku_ln:ulmer-2,Kurt Ulmer,816d3b77-16c8-11ed-9b5f-1234bde3cd05
9498306,fl:ig_ln:skvirsky-1,Igor Skvirsky,71c61563-16c8-11ed-9b5f-1234bde3cd05
9249594,fl:ro_ln:caruso-3,Robert Caruso,258fcbab-16c8-11ed-9b5f-1234bde3cd05
12077526,fl:jo_ln:priede-1,Jonas Calleja PRIEDE,21057cd0-16c8-11ed-9b5f-1234bde3cd05
10651754,fl:pu_ln:shah-11,Pulkit Shah,68a4ea01-16c8-11ed-9b5f-1234bde3cd05
9772543,fl:da_ln:basulto-1,David Basulto,4b00bf44-16c8-11ed-9b5f-1234bde3cd05
12451819,fl:mi_ln:huang-125,Ming-Zheng Huang,90eaa921-16c8-11ed-9b5f-1234bde3cd05
11107706,fl:xi_ln:wu-313,Xin Wu,3b444e27-16c8-11ed-9b5f-1234bde3cd05
10606665,fl:so_ln:carlson-1,Sonia P. Carlson,816d1200-16c8-11ed-9b5f-1234bde3cd05
D1024326,fl:ju_ln:sauer-5,Jude S. Sauer,005e2495-16c8-11ed-9b5f-1234bde3cd05
12199252,fl:ka_ln:fink-4,Kaitlin Elizabeth FINK,d94976db-16c7-11ed-9b5f-1234bde3cd05
9598889,fl:ch_ln:ulrich-1,Christoph Ulrich,332ea758-16c8-11ed-9b5f-1234bde3cd05
10604410,fl:eu_ln:kim-77,Eun Kyung Kim,3eb30168-16c8-11ed-9b5f-1234bde3cd05
9664619,fl:da_ln:weitz-1,David A. Weitz,08419561-16c8-11ed-9b5f-1234bde3cd05
8929301,fl:be_ln:pelletier-5,Benoit Pelletier,7c45cd39-16c8-11ed-9b5f-1234bde3cd05
12492429,fl:st_ln:sigurjonsson-3,Styrmir Sigurjonsson,13f05eea-16c8-11ed-9b5f-1234bde3cd05
11662335,fl:ro_ln:macneill-1,Robert MacNeill,66acb6d0-49af-11ed-9879-1234bde3cd05
9582815,fl:al_ln:watfa-1,Allie K. Watfa,e21807d6-16c7-11ed-9b5f-1234bde3cd05
12417061,fl:yi_ln:zheng-23,Ying Zheng,816d2d55-16c8-11ed-9b5f-1234bde3cd05
10668217,fl:an_ln:mansencal-1,Antoine Mansencal,4923b3a8-16c8-11ed-9b5f-1234bde3cd05
10983635,fl:yo_ln:kobayashi-77,Youhei Kobayashi,18325001-16c8-11ed-9b5f-1234bde3cd05
12274617,fl:fr_ln:duhay-1,Francis G. Duhay,198a3cb5-16c8-11ed-9b5f-1234bde3cd05
11435697,fl:fl_ln:cosandier-1,Florent Cosandier,671a5394-49af-11ed-9879-1234bde3cd05
12031987,fl:ki_ln:kovi-1,Kiran Kumar Kovi,e310065e-16c7-11ed-9b5f-1234bde3cd05
11107094,fl:hi_ln:iimura-1,Hiroshi Iimura,42f90495-16c8-11ed-9b5f-1234bde3cd05
9072296,fl:ga_ln:rayburn-1,Gary L. Rayburn,dd0489ef-16c7-11ed-9b5f-1234bde3cd05
10870674,fl:ma_ln:kupryushkin-1,Maxim Kupryushkin,71df884d-16c8-11ed-9b5f-1234bde3cd05
10541042,fl:jo_ln:mola-2,Jordi Mola,816cf2b5-16c8-11ed-9b5f-1234bde3cd05
12208154,fl:ni_ln:stebbins-2,Nicholas David Stebbins,05d9e81a-16c8-11ed-9b5f-1234bde3cd05
10176553,fl:we_ln:ji-29,Wei Ji,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10572501,fl:he_ln:candello-1,Heloisa Caroline De Souza Pereira Candello,643ea48f-16c8-11ed-9b5f-1234bde3cd05
11505685,fl:to_ln:edwards-1,Todd S. Edwards,dc8ea2e0-16c7-11ed-9b5f-1234bde3cd05
D1103448,fl:ji_ln:wu-468,Jianlong Wu,5f9642f0-16c8-11ed-9b5f-1234bde3cd05
12092181,fl:ju_ln:barthelme-3,Juergen Barthelme,a639d32e-16c8-11ed-9b5f-1234bde3cd05
10144876,fl:sh_ln:vandermerwe-1,Shawn Van Der Merwe,7c45cd39-16c8-11ed-9b5f-1234bde3cd05
11524924,fl:ji_ln:gu-59,Ji-An Gu,3eb363c5-16c8-11ed-9b5f-1234bde3cd05
10803790,fl:jo_ln:kang-44,Jong Hyuk KANG,755a6338-16c8-11ed-9b5f-1234bde3cd05
10940380,fl:ri_ln:beaver-4,Richard James Beaver,8d40cf6f-16c8-11ed-9b5f-1234bde3cd05
12005080,fl:yo_ln:ling-1,Youguo LING,35a7da9f-16c8-11ed-9b5f-1234bde3cd05
9903531,fl:ku_ln:chen-263,Kuei-Yuan Chen,907f9ab3-16c8-11ed-9b5f-1234bde3cd05
8955041,fl:ma_ln:yamada-53,Masataka Yamada,42f90495-16c8-11ed-9b5f-1234bde3cd05
12226818,fl:ho_ln:zhang-135,Hongrong Zhang,35a83bb5-16c8-11ed-9b5f-1234bde3cd05
RE47715,fl:di_ln:haerle-1,Dieter Haerle,5999aaf5-16c8-11ed-9b5f-1234bde3cd05
11277284,fl:hy_ln:kwon-188,Hyuk Joon Kwon,1893009c-16c8-11ed-9b5f-1234bde3cd05
12332513,fl:na_ln:kim-43,Nam Gyu Kim,3eb30168-16c8-11ed-9b5f-1234bde3cd05
9968169,fl:pe_ln:tu-11,Peter Tu,973e401c-16c8-11ed-9b5f-1234bde3cd05
